title,author,description,publishedDate,categories,pageCount,averageRating
Lost Eden,G.P. Ching,"Rules. Balance. Consequences. War. Book 5 of 6 in The Soulkeepers Series When Fate gave Dane the water from Eden to drink, she did more than save his life. She changed his destiny. Since the beginning, a covenant between God and Lucifer has maintained a tenuous peace, balancing Soulkeepers and Watchers and the natural order of things. Dane upset that balance the day he became a Soulkeeper. Fate broke the rules. Now, Lucifer is demanding a consequence, requiring Fate to pay the ultimate price for her involvement. God intervenes on the immortal’s behalf but in order to save her soul must dissolve the covenant and with it the rules, order, and balance that have kept the peace. A challenge is issued. A contest for human souls begins. And the stakes? Earth. Winner take all. The Soulkeepers are at the center of a war between Heaven and Hell, and this time nobody, anywhere, is safe from Lucifer’s reach. Don't miss these other books in The Soulkeepers Series! The Soulkeepers, Book 1 Weaving Destiny, Book 2 Return to Eden, Book 3 Soul Catcher, Book 4 The Last Soulkeeper, Book 6 Read the bestselling series that readers call ""captivating and exciting. A must read!"" Classic story of good versus evil with kickass, love-to-hate, and inspiring characters who evolve with every story, making you wanna root for them when they are doing badass stuff, and cry with them when they go through periods of loss. The story is a web of events that ultimately all lead to one thing: who are you loyal to? The light? Or the darkness?? - M. Clem A read that kept me turning the pages and I was sad when it was finished. - Author Karly Kirkpatrick Doesn't disappoint! I ended up pulling an all nighter because there was no point in the book at which you can put it down. - Austin * * * Topics: Teen books, young adult paranormal fantasy series, young adult angel books, teen books for boys, teen religious fantasy, Young adult contemporary fantasy series, young adult fantasy romance series, first in series free, young adult contemporary fantasy series, magical realism, angels, devils & demons, action, adventure, teen, superhero, paranormal, fantasy, contemporary fantasy, horror, YA, young adult, mystery, romance, thriller, multicultural, multigenerational, free, series, teen, young adult, religious, contemporary, sword and sorcery, inspirational, free series starter Perfect for fans of: Stephenie Meyer, Sarra Cannon, Aaron Patterson, Brent Weeks, L.G. Castillo, JK Rowling, Cassandra Clare, Lauren Kate, and Becca Fitzpatrick",2013-11-13,['Fiction'],311.0,0.0
The Young Elites,Marie Lu,"Vengeful in the aftermath of cruel betrayals by both family and friends, Adelina flees with her sister to build an army of fellow Young Elites in an effort to strike down the white-cloaked Inquisition Axis soldiers who nearly killed her.",2015-10-13,['Young Adult Fiction'],418.0,0.0
The Rose Society,Marie Lu,"Vengeful in the aftermath of cruel betrayals by both family and friends, Adelina flees with her sister to build an army of fellow Young Elites in an effort to strike down the white-cloaked Inquisition Axis soldiers who nearly killed her.",2015-10-13,['Young Adult Fiction'],418.0,0.0
The Midnight Star,Marie Lu,"Adelina pikir, tiada lagi penderitaan. Dia telah membalas dendam pada mereka yang mengkhianatinya. Sang Serigala putih memenangi takhta Kenettra, tapi seiring bertambahnya kekuasaan, dia menjadi semakin kejam. Kegelapan dalam dirinya semakin tak terkendali, ingin menghancurkan semua yang ada di dekat Adelina. Kemudian ancaman baru muncul, dan Adelina beserta para Mawar mau tak mau harus bekerja sama dengan para Belati untuk menghadapinya. Namun, aliansi mereka yang sarat kecurigaan dan pengkhianatan mungkin lebih berbahaya dari apa pun. Bagaimanakah nasib para Elite selanjutnya? [Mizan Fantasi, Fantasi, Science, Fiction, Remaja, Terjemahan, Indonesia]",2018-01-18,['Fiction'],385.0,0.0
Steelheart,Brandon Sanderson,"The #1 New York Times bestseller from Brandon Sanderson, the author of Oathbringer, coauthor of Robert Jordan’s The Wheel of Time series, and creator of the internationally bestselling Mistborn trilogy. And don’t miss the rest of the Reckoners series: Firefight and Calamity. How far would you go for revenge if someone killed your father? If someone destroyed your city? If everything you ever loved was taken from you? David Charleston will go to any lengths to stop Steelheart. But to exact revenge in Steelheart’s world, David will need the Reckoners—a shadowy group of rebels bent on maintaining justice. And it turns out that the Reckoners might just need David too. Look for book two in the Reckoners series, Firefight, available now. Praise for the Reckoners series #1 New York Times Bestselling Series “Another win for Sanderson . . . he’s simply a brilliant writer. Period.” —Patrick Rothfuss, author of the New York Times and USA Today bestseller The Name of the Wind “Action-packed.” —EW.com “Compelling. . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store.” —The A.V. Club",2020-09-08,['Young Adult Fiction'],498.0,0.0
Firefight,Brandon Sanderson,"The #1 New York Times bestseller and sequel to Steelheart from Brandon Sanderson, the author of Oathbringer, coauthor of Robert Jordan’s The Wheel of Time series, and creator of the internationally bestselling Mistborn trilogy, presents the second book in the Reckoners series: Firefight. And don’t miss Calamity, the exciting conclusion to the Reckoners series! Newcago is free. They told David it was impossible, that even the Reckoners had never killed a High Epic. Yet Steelheart--invincible, immortal, unconquerable--is dead. And he died by David's hand. Eliminating Steelheart was supposed to make life simpler. Instead, it only made David realize he has questions. Big ones. And no one in Newcago can give him answers. Babylon Restored, the city formerly known as the borough of Manhattan, has possibilities, though. Ruled by the mysterious High Epic Regalia, Babylon Restored is flooded and miserable, but David is sure it's the path that will lead him to what he needs to find. Entering a city oppressed by a High Epic despot is risky, but David's willing to take the gamble. Because killing Steelheart left a hole in David's heart. A hole where his thirst for vengeance once lived. Somehow, he filled that hole with another Epic--Firefight. And now he will go on a quest darker and even more dangerous than the fight against Steelheart to find her, and to get his answers. Praise for the Reckoners Series: #1 New York Times Bestselling Series “Another win for Sanderson . . . he’s simply a brilliant writer. Period.” —Patrick Rothfuss, author of the New York Times and USA Today bestseller The Name of the Wind “Action-packed.” —EW.com “Compelling. . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store.” —The A.V. Club",2015-01-06,['Young Adult Fiction'],434.0,0.0
Calamity,Brandon Sanderson,"Order the sequel to the #1 New York Times bestselling novel Firefight today! From the bestselling author of the Mistborn series and Words of Radiance comes Calamity, the final book in the #1 New York Times bestselling Reckoners series: Steelheart, Firefight, and Calamity. When Calamity lit up the sky, the Epics were born. David’s fate has been tied to their villainy ever since that historic night. Steelheart killed his father. Firefight stole his heart. And now Regalia has turned his closest ally into a dangerous enemy. David knew Prof’s secret, and kept it even when Prof struggled to control the effects of his Epic powers. But facing Obliteration in Babilar was too much. Once the Reckoners’ leader, Prof has now embraced his Epic destiny. He’s disappeared into those murky shadows of menace Epics are infamous for the world over, and everyone knows there’s no turning back. . . . But everyone is wrong. Redemption is possible for Epics—Megan proved it. They’re not lost. Not completely. And David is just about crazy enough to face down the most powerful High Epic of all to get his friend back. Or die trying. Praise for the Reckoners Series: #1 New York Times Bestselling Series “The suspense is relentless and the climax explosive.” —James Dashner, #1 New York Times bestselling author of the Maze Runner series “Another win for Sanderson . . . he’s simply a brilliant writer. Period.” —Patrick Rothfuss, author of the New York Times and USA Today bestseller The Name of the Wind “Action-packed.” —EW.com “Compelling. . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store.” —The A.V. Club",2016-02-16,['Young Adult Fiction'],434.0,0.0
Mitosis,Brandon Sanderson,"Read the e-novella from the #1 New York Times bestselling Recokners series: Steelheart, Firefight, and Calamity! Brandon Sanderson, the #1 New York Times bestselling author of Words of Radiance, coauthor of Robert Jordan’s The Wheel of Time series, and creator of the internationally bestselling Mistborn trilogy, presents Mitosis, a short story set in the action-packed world of Steelheart, Firefight, and Calamity: the Reckoners series, exclusively available in the digital format. Epics still plague Newcago, but David and the Reckoners have vowed to fight back. Praise for the Reckoners Series: #1 New York Times Bestselling Series “Another win for Sanderson . . . he’s simply a brilliant writer. Period.” —Patrick Rothfuss, author of the New York Times and USA Today bestseller The Name of the Wind “Action-packed.” —EW.com “Compelling. . . . Sanderson uses plot twists that he teases enough for readers to pick up on to distract from the more dramatic reveals he has in store.” —The A.V. Club",2013-12-03,['Young Adult Fiction'],64.0,0.0
Twilight,Stephenie Meyer,"This stunning set, complete with all four books, makes the perfect gift for fans of the bestselling vampire love story. Deeply romantic and extraordinarily suspenseful, Twilight, New Moon, Eclipse, and Breaking Dawn capture the struggle between defying our instincts and satisfying our desires.",2009-10-27,['Juvenile Fiction'],2275.0,4.0
New Moon,Stephenie Meyer,"Explore Earth's closest neighbor, the Moon, in this fascinating and timely book and discover what we should expect from this seemingly familiar but strange, new frontier. What startling discoveries are being uncovered on the Moon? What will these tell us about our place in the Universe? How can exploring the Moon benefit development on Earth? Discover the role of the Moon in Earth's past and present; read about the lunar environment and how it could be made more habitable for humans; consider whether continued exploration of the Moon is justified; and view rare Apollo-era photos and film stills. This is a complete story of the human lunar experience, presenting many interesting but little-known and significant events in lunar science for the first time. It will appeal to anyone wanting to know more about the stunning discoveries being uncovered on the Moon.",2014-09-22,['Science'],525.0,0.0
Eclipse,Stephenie Meyer,"As the love triangle heats up in the third book, Bella must choose between her friendship with Jacob and her romance with Edward -- and her decision could change the fate of vampires and werewolves forever. As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob -- knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make: life or death. But which is which? It's here! #1 bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with the highly anticipated companion, Midnight Sun: the iconic love story of Bella and Edward told from the vampire's point of view. ""People do not want to just read Meyer's books; they want to climb inside them and live there."" -- Time ""A literary phenomenon."" -- The New York Times",2007-08-07,['Young Adult Fiction'],478.0,4.0
Breaking Dawn,Stephenie Meyer,"In the explosive finale to the epic romantic saga, Bella has one final choice to make. Should she stay mortal and strengthen her connection to the werewolves, or leave it all behind to become a vampire? When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved? To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs. This astonishing, breathlessly anticipated conclusion to the Twilight Saga illuminates the secrets and mysteries of this spellbinding romantic epic. It's here! #1 bestselling author Stephenie Meyer makes a triumphant return to the world of Twilight with the highly anticipated companion, Midnight Sun: the iconic love story of Bella and Edward told from the vampire's point of view. ""People do not want to just read Meyer's books; they want to climb inside them and live there."" -- Time ""A literary phenomenon."" -- The New York Times",2008-08-02,['Young Adult Fiction'],596.0,4.0
The Park Service,Ryan Winfield,"""Aubrey Van Houten is a 15-year-old misfit who spends his time reading and dreaming about the good old days above. Believing the planet uninhabitable after a global nuclear war, Aubrey's people live deep underground, begrudgingly working assigned jobs until they can retire at 35 to a virtual reality paradise. Through a series of curious accidents, Aubrey stumbles onto the surface and discovers a real paradise off limits: a pristine planet where humans are hunted and killed by a mysterious Park Service. Now, Aubrey must decide between his only friend, his true love, and his imprisoned people, as he struggles to find the courage to stand up to evil, no matter how pretty its face"" -- Amazon.com.",2012-10,['Fiction'],335.0,5.0
The Cascade,Ryan Winfield,"Included in this free e-sampler are selections from ten sexy, heartbreaking, and epically romantic books by some of the biggest names in contemporary romance and new adult fiction. You’ll want to read them over and over again, share with your friends, and bookmark every page. We hope you enjoy these excerpts and come back for the rest of the story! Here’s just a touch of: Sweet Thing by Renée Carlino Rush Too Far by Abbi Glines Ugly Love by Colleen Hoover Beautiful Oblivion by Jamie McGuire Collide by Gail McHugh Unteachable by Leah Raeder Desert Heat by Elizabeth Reyes Working It by Kendall Ryan Five Ways to Fall by K.A. Tucker Jane’s Melody by Ryan Winfield Find out more about your favorite authors at Facebook.com/AtriaIndieAuthors Twitter.com/AtriaBooks AtriaIndieAuthors.com",2014-05-06,['Fiction'],222.0,0.0
Red Rising,Pierce Brown,"From the world of the best-selling YA series Red Rising comes a story of love and loss and rage! In the future, when mankind has spread across the stars, the hierarchy of man is dictated by the color of one’s caste. The Golds rule all, but what will happen when one falls for a lowly Red? See how a forbidden love will set the course of events for the future and lead to the formation of the formidable Sons of Ares! Written by author Pierce Brown (The Red Rising Trilogy) and Rik Hoskin (Heroes of Skyrealm, Brandon Sanderson’s White Sand), with art by Eli Powell (Yakuza Demon Killers, The 13th Artifact), comes the in-continuity story of revolution and Red Rising!",2018-03-07,['Comics & Graphic Novels'],163.0,0.0
Golden Son,Pierce Brown,"NEW YORK TIMES BESTSELLER • Red Rising hit the ground running and wasted no time becoming a sensation. Golden Son continues the stunning saga of Darrow, a rebel forged by tragedy, battling to lead his oppressed people to freedom. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY NPR, BUZZFEED, AND BOOKLIST • “Gripping . . . On virtually every level, this is a sequel that hates sequels—a perfect fit for a hero who already defies the tropes. [Grade:] A”—Entertainment Weekly As a Red, Darrow grew up working the mines deep beneath the surface of Mars, enduring backbreaking labor while dreaming of the better future he was building for his descendants. But the Society he faithfully served was built on lies. Darrow’s kind have been betrayed and denied by their elitist masters, the Golds—and their only path to liberation is revolution. And so Darrow sacrifices himself in the name of the greater good for which Eo, his true love and inspiration, laid down her own life. He becomes a Gold, infiltrating their privileged realm so that he can destroy it from within. A lamb among wolves in a cruel world, Darrow finds friendship, respect, and even love—but also the wrath of powerful rivals. To wage and win the war that will change humankind’s destiny, Darrow must confront the treachery arrayed against him, overcome his all-too-human desire for retribution—and strive not for violent revolt but a hopeful rebirth. Though the road ahead is fraught with danger and deceit, Darrow must choose to follow Eo’s principles of love and justice to free his people. He must live for more. Praise for Golden Son “Stirring . . . Comparisons to The Hunger Games and Game of Thrones series are inevitable, for this tale has elements of both.”—Kirkus Reviews “Brown writes layered, flawed characters . . . but plot is his most breathtaking strength. . . . Every action seems to flow into the next.”—NPR Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",2015-01-06,['Fiction'],508.0,4.5
Morning Star,Pierce Brown,"#1 NEW YORK TIMES BESTSELLER • Red Rising thrilled readers and announced the presence of a talented new author. Golden Son changed the game and took the story of Darrow to the next level. Now comes the exhilarating next chapter in the Red Rising Saga: Morning Star. ITW THRILLER AWARD FINALIST • “[Brown’s] achievement is in creating an uncomfortably familiar world of flaw, fear, and promise.”—Entertainment Weekly Darrow would have lived in peace, but his enemies brought him war. The Gold overlords demanded his obedience, hanged his wife, and enslaved his people. But Darrow is determined to fight back. Risking everything to transform himself and breach Gold society, Darrow has battled to survive the cutthroat rivalries that breed Society’s mightiest warriors, climbed the ranks, and waited patiently to unleash the revolution that will tear the hierarchy apart from within. Finally, the time has come. But devotion to honor and hunger for vengeance run deep on both sides. Darrow and his comrades-in-arms face powerful enemies without scruple or mercy. Among them are some Darrow once considered friends. To win, Darrow will need to inspire those shackled in darkness to break their chains, unmake the world their cruel masters have built, and claim a destiny too long denied—and too glorious to surrender. Praise for Morning Star “There is no one writing today who does shameless, Michael Bay–style action set pieces the way Brown does. The battle scenes are kinetic, bloody, breathless, crazy. Everything is on fire all the time.”—NPR “Morning Star is this trilogy’s Return of the Jedi. . . . The impactful battles that make up most of Morning Star are damn near operatic. . . . It absolutely satisfies.”—Tordotcom “Excellent . . . Brown’s vivid, first-person prose puts the reader right at the forefront of impassioned speeches, broken families, and engaging battle scenes . . . as this interstellar civil war comes to a most satisfying conclusion.”—Publishers Weekly (starred review) “A page-turning epic filled with twists and turns . . . The conclusion to Brown’s saga is simply stellar.”—Booklist (starred review) Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",2016-09-27,['Fiction'],546.0,0.0
Iron Gold,Pierce Brown,"A decade ago, Darrow was the hero of the revolution he believed would break the chains of the Society, and abolish the color-coded caste system. But the Rising has shattered everything, and brought endless war. New foes emerge to threaten what has been earned, and throughout the worlds other destinies entwine with Darrow's to change his fate forever. A young Red girl flees tragedy in her refugee camp, and achieves for herself a new life she could never have imagined. An ex-soldier broken by grief is forced to steal the most valuable thing in the galaxy -- or pay with his life. And Lysander au Lune, the heir in exile to the Sovereign, wanders the stars with his mentor, Cassius, haunted by the loss of the world that Darrow transformed, and dreaming of what will rise from its ashes.",2018,['Fiction'],939.0,0.0
Dark Age,Pierce Brown,"NEW YORK TIMES BESTSELLER • The bestselling author of Morning Star returns to the Red Rising universe with the thrilling sequel to Iron Gold. “Brown’s plots are like a depth charge of nitromethane dropped in a bucket of gasoline. His pacing is 100% him standing over it all with a lit match and a smile, waiting for us to dare him to drop it.”—NPR (Best Books of the Year) He broke the chains. Then he broke the world…. A decade ago Darrow led a revolution, and laid the foundations for a new world. Now he’s an outlaw. Cast out of the very Republic he founded, with half his fleet destroyed, he wages a rogue war on Mercury. Outnumbered and outgunned, is he still the hero who broke the chains? Or will he become the very evil he fought to destroy? In his darkening shadow, a new hero rises. Lysander au Lune, the displaced heir to the old empire, has returned to bridge the divide between the Golds of the Rim and Core. If united, their combined might may prove fatal to the fledgling Republic. On Luna, the embattled Sovereign of the Republic, Virginia au Augustus, fights to preserve her precious demokracy and her exiled husband. But one may cost her the other, and her son is not yet returned. Abducted by enemy agents, Pax au Augustus must trust in a Gray thief, Ephraim, for his salvation. Far across the void, Lyria, a Red refugee accused of treason, makes a desperate bid for freedom with the help of two unlikely new allies. Fear dims the hopes of the Rising, and as power is seized, lost, and reclaimed, the worlds spin on and on toward a new Dark Age. Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",2019-07-30,['Fiction'],906.0,0.0
Light Bringer,Pierce Brown,"NEW YORK TIMES BESTSELLER • Darrow returns as Pierce Brown’s New York Times bestselling Red Rising series continues in the thrilling sequel to Dark Age. The Reaper is a legend, more myth than man: the savior of worlds, the leader of the Rising, the breaker of chains. But the Reaper is also Darrow, born of the red soil of Mars: a husband, a father, a friend. Marooned far from home after a devastating defeat on the battlefields of Mercury, Darrow longs to return to his wife and sovereign, Virginia, to defend Mars from its bloodthirsty would-be conqueror Lysander. Lysander longs to destroy the Rising and restore the supremacy of Gold, and will raze the worlds to realize his ambitions. The worlds once needed the Reaper. But now they need Darrow, and Darrow needs the people he loves—Virginia, Cassius, Sevro—in order to defend the Republic. So begins Darrow’s long voyage home, an interplanetary adventure where old friends will reunite, new alliances will be forged, and rivals will clash on the battlefield. Because Eo’s dream is still alive—and after the dark age will come a new age: of light, of victory, of hope. Don’t miss any of Pierce Brown’s Red Rising Saga: RED RISING • GOLDEN SON • MORNING STAR • IRON GOLD • DARK AGE • LIGHT BRINGER",2023-07-25,['Fiction'],0.0,0.0
The Lion the Witch and the Wardrobe,C.S. Lewis,"Narnia: A magical land full of wonder and excitement. A place where you will meet Aslan, the bravest of lions, and a beautiful but wicked Witch. There are lots of other fabulous creatures too: giants and dwarfs and animals that talk. It all begins when four children -- Peter, Susan, Edmund, and Lucy -- discover a strange old wardrobe. Stepping inside, they find that it's stranger still, because behind all the fur coats there is a wondrous land of trees and mountains, all glistening with snow. The White Witch has spread an icy winter everywhere. Only Aslan can defeat her and reverse her wicked spell. The children must find the lion before it is too late. If they fail, the Witch will make them her prisoners forever. In the fifty years since it was written, The Lion, the Witch And the Wardrobe has become one of the great classics of children's literature. Now younger children can share the magical experience, stepping into a world of enchantment that will forever lure them back.",2004-09-21,['Juvenile Fiction'],48.0,0.0
Prince Caspian,C.S. Lewis,"There are a thousand stories in the land of Narnia, and the first is about to be told in an extraordinary motion picture, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, from Walt Disney Pictures and Walden Media. In the never-ending war between good and evil, The Chronicles of Narnia set the stage for battles of epic proportions. Some take place in vast fields, where the forces of light and darkness clash. But other battles occur within the small chambers of the heart and are equally decisive. Journeys to the ends of the world, fantastic creatures, betrayals, heroic deeds and friendships won and lost -- all come together in an unforgettable world of magic. So join a prince as he fights for his crown. The fourth volume in The Chronicles of Narnia® Prince Caspian Narnia ... where animals talk ... where trees walk ... where a battle is about to begin. A prince denied his rightful throne gathers an army in a desperate attempt to rid his land of a false king. But in the end, it is a battle of honor between two men alone that will decide the fate of an entire world.",2005-05-24,['Fiction'],307.0,0.0
The Voyage of the Dawn Treader,C.S. Lewis,"There are a thousand stories in the land of Narnia, and the first is about to be told in an extraordinary motion picture, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, from Walt Disney Pictures and Walden Media. In the never-ending war between good and evil, The Chronicles of Narnia set the stage for battles of epic proportions. Some take place in vast fields, where the forces of light and darkness clash. But other battles occur within the small chambers of the heart and are equally decisive. Journeys to the ends of the world, fantastic creatures, betrayals, heroic deeds and friendships won and lost -- all come together in an unforgettable world of magic. So take a voyage into the unknown. The fifth volume in The Chronicles of Narnia® The Voyage of the Dawn Treader Narnia ... where a dragon awakens ... where stars walk the earth ... where anything can happen. A king and some unexpected companions embark on a voyage that will take them beyond all known lands. As they sail farther and farther from charted waters, they discover that their quest is more than they imagined and that the world's end is only the beginning.",2005-06,['Fiction'],323.0,0.0
The Silver Chair,C.S. Lewis,Jill and Eustace must rescue the Prince from the evil Witch.,1994-07-01,['Juvenile Fiction'],183.0,3.0
The Magician's Nephew,C.S. Lewis,"Illustrations in this ebook appear in vibrant full colour on a full colour ebook device, and in rich black and white on all other devices.",2009-05-05,['Juvenile Fiction'],13.0,5.0
The Last Battle,C.S. Lewis,"When evil comes to Narnia, Jill and Eustace help fight the great last battle and Aslan leads his people to a glorious new paradise.",2011,['Juvenile Fiction'],0.0,0.0
The Warrior Heir,Cinda Williams Chima,"A teen from Ohio discovers he's the last in a long line of magical warriors chosen to fight to the death. Before he knew about the Roses, sixteen-year-old Jack lived an unremarkable life in the small town of Trinity, Ohio. Only the medicine he has to take daily and the thick scar above his heart set him apart from the other high-schoolers. Then one day Jack skips his medicine. Suddenly, he is stronger, fiercer, and more confident than ever before. And it feels great—until he loses control and nearly kills another player during soccer team tryouts. Soon, Jack learns the startling truth about himself: He is Weirlind, part of an underground society of magical people living among us. At the head of this magical society sit the feuding houses of the Red Rose and the White Rose, whose power is determined by playing The Game: a magical tournament in which each house sponsors a warrior to fight to the death. As if his bizarre magical heritage wasn't enough, Jack finds out that he's not just another member of Weirlind—he's one of the last of the warriors, at a time when both houses are scouting for a player. Can he learn to control his magic and fight off the Wizards who would claim him? Find out in the first book in the epic Heir Chronicles series by New York Times and USA Today bestselling author Cinda Williams Chima!",2009-09-17,['Young Adult Fiction'],431.0,4.5
The Wizard Heir,Cinda Williams Chima,The Wizard Heir,2008-10-21,nan,0.0,0.0
The Dragon Heir,Cinda Williams Chima,Affirmations for Living an Empowered Life,2009-02-03,nan,0.0,0.0
The Enchanter Heir,Cinda Williams Chima,"Racing against time, Jonah and Emma, who possess unique magical gifts, work to uncover the truth about Thorn Hill, a peaceful commune that the Wizard Guild claims is a hotbed of underguild terrorists.",2013-10-22,['Conspiracies'],455.0,0.0
The Sorcerer Heir,Cinda Williams Chima,"New York Times and USA Today bestselling author Cinda Williams Chima's Heir Chronicles series reaches its stunning conclusion! The delicate peace between Wizards and the underguilds holds by the thinnest of threads, but powerful forces inside and outside the guilds threaten to sever it completely, and Emma and Jonah are at the center of it all. Brought together by their shared history, mutual attraction, and a belief in the magic of music, they may be torn apart by new wounds and old betrayals. As they struggle to rebuild their trust in one another, Emma and Jonah must also clear their names as the prime suspects in a series of vicious murders. The answers they need appear to lie buried in the tragedies of the past—but can they survive long enough to unearth them? Old friends and foes return as new threats arise in this stunning and revelatory conclusion to the beloved Heir Chronicles series.",2014-10-21,['Young Adult Fiction'],544.0,0.0
The Novice,Taran Matharu,"When blacksmith apprentice Fletcher discovers that he has the ability to summon demons from another world, he travels to Adept Military Academy where must decide where his loyalties lie.",2015-05-05,['Juvenile Fiction'],366.0,1.0
The Inquisition,Taran Matharu,"A New York Times Bestseller! A Publishers Weekly Bestseller! A year has passed since the Tournament. Fletcher and Ignatius have been locked away in Pelt's dungeons, but now they must face trial at the hands of the Inquisition, a powerful institution controlled by those who would delight in Fletcher's downfall. The trial is haunted by ghosts from the past with shocking revelations about Fletcher's origins, but he has little time to dwell on them; the graduating students of Vocans are to be sent deep into the orc jungles to complete a dangerous mission for the king and his council. If they fail, the orcish armies will rise to power beyond anything the Empire has ever seen. With loyal friends Othello and Sylva by his side, Fletcher must battle his way to the heart of Orcdom and save Hominum from destruction . . . or die trying, in this sequel to The Novice by Taran Matharu.",2016-05-10,['Young Adult Fiction'],368.0,5.0
The Battlemage,Taran Matharu,"While Fletcher and his friends undertake a mortally dangerous quest in the ether, albino orc Khan is on a mission to destroy Hominum and all that Fletcher loves.",2017-05-02,['Juvenile Fiction'],385.0,5.0
The Outcast,Taran Matharu,"The fourth book in Matharu's ""New York Times""Dbestselling Summoner seriesis the prequel story of Arcturus and how he rose from boy summoner to head ofVocans Academy.",2018-05,['Juvenile Fiction'],385.0,0.0
The Chosen,Taran Matharu,"The Chosen introduces the first book in the Contender trilogy, an epic young adult fantasy from Taran Matharu, author of the New York Times–bestselling Summoner series. Throughout history, people have vanished with no explanation. A group of teenagers are about to discover why. Cade is settling into a new boarding school, contemplating his future, when he finds himself transported to another realm. He soon discovers their new world is populated with lost remnants from the past: prehistoric creatures, ancient relics, and stranger still—people. Overwhelmed by his new surroundings, Cade has little time to adjust, for soon he and his fellow classmates are forced to become contenders in a brutal game, controlled by mysterious overlords. But who are these beings and why did they choose these teens? Cade must prepare for battle . . . because hiding is not an option. Fans of fantasy and LitRPG will welcome this new character and world from the author of the Summoner series.",2019-06-04,['Young Adult Fiction'],313.0,5.0
The Champion,Taran Matharu,"In Taran Matharu's The Champion, the explosive final book in the Contender trilogy, Cade and his friends wage the ultimate battle for their lives—and the fate of Earth itself—in the Game set by the cruel and mysterious Pantheon... Cade has managed to survive the duel with the Hydra Alpha—barely. But the Games are far from over. By order of their cruel and mysterious overlord, Abaddon, Cade and his friends are sent off to war against the Greys, a humanoid race who have far surpassed humans in technology on their home planet. This attempt to move up the leaderboard, however, leads Cade to a game-changing revelation: The Pantheon—the millennia-old alien masterminds behind the Games—have a weakness. With the right artifacts scavenged from the land of Acies and a heavy dose of courage and luck, Cade has exactly one chance to end their tyranny forever. But if he fails, the lives of his friends—and the survival of Earth itself—will be forfeit.",2021-08-10,['Young Adult Fiction'],318.0,0.0
The Hunger Games,Suzanne Collins,"First in the ground-breaking HUNGER GAMES trilogy. Set in a dark vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games. There is only one rule: kill or be killed. When sixteen-year-old Katniss Everdeen steps forward to take her younger sister's place in the games, she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.",2014-10-01,['Dystopias'],448.0,5.0
Catching Fire,Suzanne Collins,"Sparks are igniting. Flames are spreading. And the Capitol wants revenge. Against all odds, Katniss has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol--a rebellion that Katniss and Peeta may have helped create. Much to her shock, Katniss has fueled an unrest she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.",2023-12-19,nan,0.0,0.0
